,месяц:,май,,июнь,,,,июль,,,,,август,,,,,Сентябрь,,,,,Октябрь,,,,,,,
,неделя:,19.05 - 25.05,26.05 - 31.05,01.06 - 08.06,09.06 - 15.06,16.06 - 22.06,23.06 - 30.06,01.07 - 06.07,07.07 - 13.07,14.07 - 20.07,21.07 - 27.07,28.07 - 31.07,01.08 - 03.08,04.08 - 10.08,11.08 - 17.08,18.08 - 24.08,25.08 - 31.08,01.09 - 07.09,08.09 - 14.09,15.09 - 21.09,22.09 - 28.09,29.09 - 30.09,01.10 - 05.10,06.10 - 12.10,13.10 - 19.10,20.10 - 26.10,27.10 - 31.10,01.11 - 09.11,10.11 - 16.11,17.11 - 23.11
Итого:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расход,0,0,0,0,0,24854.87,12656.66,1408.58,7218.3,1543.69,1327.78,2672.22,19467.37,18199.31,16843.81,20489.52,30399.5,28611.97,22941.76,9820.51,0,10946.72,20722.52,7019.57,1032.44,5734.82,354.72,1555.47,0
,Показы,0,0,0,0,0,110826,29807,6343,25226,7498,7645,11023,318514,227821,185424,254466,460504,386554,307130,154052,0,282755,472034,165340,5747,28769,805,15561,0
,Клики,0,0,0,0,0,629,357,76,407,132,121,68,1628,1400,1777,1179,4247,3144,1730,762,0,1313,2197,596,83,469,10,132,0
,Подписки,0,0,0,0,0,0,0,0,0,0,0,0,635,729,740,408,712,881,729,344,0,565,836,149,0,0,0,0,0
,Стоимост. клика,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,39.51489666,35.45282913,18.53394737,17.73538084,11.69462121,10.97338843,39.29735294,11.95784398,12.99950714,9.478790096,17.37872774,7.157876148,9.100499364,13.26113295,12.8878084,#DIV/0!,8.337182026,9.432189349,11.77780201,12.43903614,12.22776119,35.472,11.78386364,#DIV/0!
,Стоимост. подписки,0,0,0,0,0,24854.87,12656.66,1408.58,7218.3,1543.69,1327.78,2672.22,30.65727559,24.96475995,22.76190541,50.21941176,42.69592697,32.47669694,31.47017833,28.54799419,0,19.37472566,24.78770335,47.11120805,1032.44,5734.82,354.72,1555.47,0
,% клик / подписка,0,0,0,0,0,0,0,0,0,0,0,0,0.39004914,0.5207142857,0.4164321891,0.3460559796,0.1676477514,0.280216285,0.4213872832,0.4514435696,0,0.430312262,0.3805188894,0.25,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сообщество и профиль (пост),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расход,,,,,,23785.77,12086.0,1408.58,7218.3,1543.69,1327.78,2672.22,10004.22,6356.64,5652.77,6721.88,4396.66,9033.84,8995.4,2249.09,0.0,2963.64,6775.14,4350.22,1032.44,5734.82,354.72,1555.47,
,Показы,,,,,,88691.0,25051.0,6343.0,25226.0,7498.0,7645.0,11023.0,26031.0,20936.0,20345.0,18754.0,20934.0,29773.0,19303.0,4095.0,0.0,14444.0,25457.0,100903,5747.0,28769.0,805.0,15561.0,
,Клики,,,,,,579.0,306.0,76.0,407.0,132.0,121.0,68.0,423.0,127.0,453.0,147.0,271.0,461.0,318.0,85.0,0.0,196.0,485.0,291,83.0,469.0,10.0,132.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сообщество и профиль (группа),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расход,,,,,,,,,,,,,9463.15,11842.67,11191.04,7935.75,9933.22,13951.09,13946.36,7571.42,0.0,7983.08,13947.38,2669.35,,,,,
,Показы,,,,,,,,,,,,,292483.0,206885.0,165079.0,115024.0,174913.0,239070.0,287827.0,149957.0,0.0,268311.0,446577.0,64437.0,,,,,
,Клики,,,,,,,,,,,,,1205.0,1273.0,1324.0,763.0,1341.0,1626.0,1412.0,677.0,0.0,1117.0,1712.0,305.0,,,,,
,Подписки,,,,,,,,,,,,,635.0,729.0,740.0,408.0,712.0,881.0,729.0,344.0,0.0,565.0,836.0,149.0,,,,,
,Стоимост. подписки,,,,,,,,,,,,,14.90259843,16.24508916,15.12302703,19.45036765,13.95115169,15.83551646,19.13080933,22.00994186,0,14.12934513,16.6834689,17.91510067,,,,,
,% клик / подписка,0,0,0,0,0,0,0,0,0,0,0,0,0.5269709544,0.5726630008,0.5589123867,0.5347313237,0.5309470544,0.5418204182,0.5162889518,0.5081240768,0,0.5058191585,0.488317757,0.4885245902,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видео и трансляции,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расход,,,,,,1069.1,570.66,,,,,,,,,5831.89,16069.62,5627.04,,,,,,,,,,,
,Показы,,,,,,22135.0,4756.0,,,,,,,,,120688.0,264657.0,117711.0,,,,,,,,,,,
,Клики,,,,,,50.0,51.0,,,,,,,,,269.0,2635.0,1057.0,,,,,,,,,,,
