месяц,дата,приведено,отписки,%отписок,потрачено,ст-ть_подп,крео
апрель,29.04.2026.14:00,266.0,,,24491.0,92.07142857,
май,2026-05-20 00:00:00,446.0,,,30860.0,69.19282511,
май,2026-05-27 00:00:00,331.0,,,60672.0,183.2990937,
июнь,2026-06-10 00:00:00,406.0,,,33432.0,82.34482759,
июнь,2026-06-24 00:00:00,367.0,,,34816.0,94.86648501,
